Partition (of N),ArrayStack InsertAllWords,AS RemoveAllWords,NAME
1,0.003910,0.001649,
2,0.007651,0.003619,
3,0.011859,0.005403,
4,0.015092,0.007267,
5,0.018954,0.009023,
6,0.022562,0.010894,
7,0.027975,0.012712,
8,0.030655,0.010820,
9,0.036972,0.016616,
10,0.037735,0.018123,
,,,
Partition (of N),LinkedStack InsertAllWords,LS RemoveAllWords,
1,0.011616,0.003805,
2,0.020321,0.007553,
3,0.029669,0.011446,
4,0.040834,0.015517,
5,0.049799,0.018740,
6,0.059810,0.019285,
7,0.055524,0.027134,
8,0.076104,0.030466,
9,0.073709,0.033964,
10,0.100215,0.038860,
,,,
Partition (of N),ArrayQueue InsertAllWords,AQ RemoveAllWords,
1,0.003866,0.001869,
2,0.007699,0.003837,
3,0.011364,0.005519,
4,0.015296,0.007385,
5,0.019040,0.009219,
6,0.022921,0.011041,
7,0.027651,0.013063,
8,0.032711,0.016616,
9,0.034386,0.016529,
10,0.038188,0.018560,
,,,
Partition (of N),LinkedQueue InsertAllWords,LQ RemoveAllWords,
1,0.017367,0.003744,
2,0.019519,0.007644,
3,0.029971,0.011100,
4,0.035498,0.014783,
5,0.044484,0.018506,
6,0.058292,0.022133,
7,0.071983,0.027073,
8,0.070381,0.029797,
9,0.084786,0.033607,
10,0.094785,0.038889,
,,,
,class::method(),Graph Observed Time Complexity,
,AS::insertAW(),,
,AS::removeAW(),,
,LS::insertAW(),,
,LS::removeAW(),,
,AQ::insertAW(),,
,AQ::removeAW(),,
,LQ::insertAW(),,
,LQ::removeAW(),,
